,uid,id.resp_h,id.resp_p,version,cipher,curve,server_name,resumed,last_alert,next_protocol,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,validation_status,mac,filename,fingerprint,ts,certificate.version,certificate.serial,certificate.subject,certificate.issuer,certificate.not_valid_before,certificate.not_valid_after,certificate.key_alg,certificate.sig_alg,certificate.key_type,certificate.key_length,certificate.exponent,certificate.curve,san.dns,san.uri,san.email,san.ip,basic_constraints.ca,basic_constraints.path_len,host_cert,client_cert,issuer_O,issuer_CN,subject_O,subject_CN,not_before,not_after,validity_days,device,vendor,_merge
0,C8Ukzl2hO2CCeyWoZh,35.204.13.3,443.0,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,x25519,provision.meethue.com,F,unknown_ca,http/1.1,F,CsxknL,3ce5e10edfe4cf732c3b73c3154b952249e6983508ec724a6c18714aac913996,(empty),T,unable to get local issuer certificate,0:17:88:68:5f:61,2021-02-22_18.37.12_192.168.10.164.pcap,3ce5e10edfe4cf732c3b73c3154b952249e6983508ec724a6c18714aac913996,1614040079.864382,3.0,0EADFADB29E0,"O=Philips Hue,CN=provision.meethue.com","CN=Certification Authority of WoSign,O=WoSign CA Limited,C=CN",1613885279.0,1677130079.0,rsaEncryption,sha256WithRSAEncryption,rsa,4096.0,65537.0,-,"provision.meethue.com,random-san-entry.com",-,-,35.204.13.3,-,-,T,F,WoSign CA Limited,Certification Authority of WoSign,Philips Hue,provision.meethue.com,"02/21/2021, 00:27:59","02/23/2023, 00:27:59",732,t-philips-hub,philips,both
1,CNAJyBfN3IvBSK2td,35.204.13.3,443.0,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,x25519,provision.meethue.com,F,unknown_ca,http/1.1,F,CsxknL,7ce0eccf6d91dab6df1cb234ab8de654947326bbb1dd314fcea498f68aec44d1,(empty),T,unable to get local issuer certificate,0:17:88:68:5f:61,2021-02-22_18.37.12_192.168.10.164.pcap,7ce0eccf6d91dab6df1cb234ab8de654947326bbb1dd314fcea498f68aec44d1,1614050884.014293,3.0,0EAE014BBF22,"O=Philips Hue,CN=provision.meethue.com","CN=Certification Authority of WoSign,O=WoSign CA Limited,C=CN",1613896083.0,1677140883.0,rsaEncryption,sha256WithRSAEncryption,rsa,4096.0,65537.0,-,"provision.meethue.com,random-san-entry.com",-,-,35.204.13.3,-,-,T,F,WoSign CA Limited,Certification Authority of WoSign,Philips Hue,provision.meethue.com,"02/21/2021, 03:28:03","02/23/2023, 03:28:03",732,t-philips-hub,philips,both
2,CzkizZ2qybid7CFTkh,35.204.13.3,443.0,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,x25519,provision.meethue.com,F,unknown_ca,http/1.1,F,CsxknL,b582d3874f8b425acf8b7dea4d93f6817f7d595acaf817c4e28069e5cc5a24f4,(empty),T,unable to get local issuer certificate,0:17:88:68:5f:61,2021-02-22_18.37.12_192.168.10.164.pcap,b582d3874f8b425acf8b7dea4d93f6817f7d595acaf817c4e28069e5cc5a24f4,1614054485.650608,3.0,0EAE03714FF6,"O=Philips Hue,CN=provision.meethue.com","CN=Certification Authority of WoSign,O=WoSign CA Limited,C=CN",1613899685.0,1677144485.0,rsaEncryption,sha256WithRSAEncryption,rsa,4096.0,65537.0,-,"provision.meethue.com,random-san-entry.com",-,-,35.204.13.3,-,-,T,F,WoSign CA Limited,Certification Authority of WoSign,Philips Hue,provision.meethue.com,"02/21/2021, 04:28:05","02/23/2023, 04:28:05",732,t-philips-hub,philips,both
3,CnhWFH1g58n1LDooR8,23.194.190.195,443.0,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,x25519,www.signify.com,F,unknown_ca,-,F,CsxknL,0e1f89981d13090d8d56de7e4f3c3c6c491ea503c6bf364431aaf13f2547e81d,(empty),T,unable to get local issuer certificate,0:17:88:68:5f:61,2021-02-22_18.37.12_192.168.10.164.pcap,0e1f89981d13090d8d56de7e4f3c3c6c491ea503c6bf364431aaf13f2547e81d,1614056399.180852,3.0,0EAE04954C8E,CN=23.194.190.195,"CN=Certification Authority of WoSign,O=WoSign CA Limited,C=CN",1613901599.0,1677146399.0,rsaEncryption,sha256WithRSAEncryption,rsa,4096.0,65537.0,-,"www.signify.com,random-san-entry.com",-,-,23.194.190.195,-,-,T,F,WoSign CA Limited,Certification Authority of WoSign,CN=23.194.190.195,23.194.190.195,"02/21/2021, 04:59:59","02/23/2023, 04:59:59",732,t-philips-hub,philips,both
4,CzwsQE4wdPN5H3WYnd,35.204.13.3,443.0,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,x25519,provision.meethue.com,F,unknown_ca,http/1.1,F,CsxknL,271d2d439b41aa093895164b6c7339ab2b2a3736c486871471d1ee0f8afb182a,(empty),T,unable to get local issuer certificate,0:17:88:68:5f:61,2021-02-22_18.37.12_192.168.10.164.pcap,271d2d439b41aa093895164b6c7339ab2b2a3736c486871471d1ee0f8afb182a,1614056544.998136,3.0,0EAE04AB8B5D,"O=Philips Hue,CN=provision.meethue.com","CN=Certification Authority of WoSign,O=WoSign CA Limited,C=CN",1613901744.0,1677146544.0,rsaEncryption,sha256WithRSAEncryption,rsa,4096.0,65537.0,-,"provision.meethue.com,random-san-entry.com",-,-,35.204.13.3,-,-,T,F,WoSign CA Limited,Certification Authority of WoSign,Philips Hue,provision.meethue.com,"02/21/2021, 05:02:24","02/23/2023, 05:02:24",732,t-philips-hub,philips,both
5,CEdC4m4SnUcYWPDPw4,35.204.13.3,443.0,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,x25519,provision.meethue.com,F,unknown_ca,http/1.1,F,CsxknL,fdbd7bc118f88806170db207647a84caf4db7370d64f59c35b6e32ebd40d831c,(empty),T,unable to get local issuer certificate,0:17:88:68:5f:61,2021-02-22_18.37.12_192.168.10.164.pcap,fdbd7bc118f88806170db207647a84caf4db7370d64f59c35b6e32ebd40d831c,1614060146.689795,3.0,0EAE06D11E62,"O=Philips Hue,CN=provision.meethue.com","CN=Certification Authority of WoSign,O=WoSign CA Limited,C=CN",1613905346.0,1677150146.0,rsaEncryption,sha256WithRSAEncryption,rsa,4096.0,65537.0,-,"provision.meethue.com,random-san-entry.com",-,-,35.204.13.3,-,-,T,F,WoSign CA Limited,Certification Authority of WoSign,Philips Hue,provision.meethue.com,"02/21/2021, 06:02:26","02/23/2023, 06:02:26",732,t-philips-hub,philips,both
6,CQzlUv3KSr7XeCO8z,54.72.226.75,443.0,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,data.meethue.com,F,-,-,T,CsxknGIti,"744ce2a4f834647a864c5788d13141005f926807cf43c2d3a0fd8c126a40eabf,25768713d3b459f9382d2a594f85f34709fd2a8930731542a4146ffb246bec69",(empty),T,ok,0:17:88:68:5f:61,2021-11-05_15.20.44_192.168.10.164.pcap,744ce2a4f834647a864c5788d13141005f926807cf43c2d3a0fd8c126a40eabf,1630120080.527074,3.0,0E83940D1A295C136B06BA1161D06BC4,"CN=data.meethue.com,O=Signify Netherlands B.V.,L=Eindhoven,ST=Noord Brabant,C=NL","CN=DigiCert TLS RSA SHA256 2020 CA1,O=DigiCert Inc,C=US",1617768000.0,1649822399.0,rsaEncryption,sha256WithRSAEncryption,rsa,2048.0,65537.0,-,data.meethue.com,-,-,-,F,-,T,F,DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,Signify Netherlands B.V.,data.meethue.com,"04/07/2021, 00:00:00","04/12/2022, 23:59:59",370,t-philips-hub,philips,both
7,CMjo0N3wN4cP9CkTG1,54.195.131.198,443.0,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,data.meethue.com,F,-,-,T,CsxknGIti,"744ce2a4f834647a864c5788d13141005f926807cf43c2d3a0fd8c126a40eabf,25768713d3b459f9382d2a594f85f34709fd2a8930731542a4146ffb246bec69",(empty),T,ok,0:17:88:68:5f:61,2021-11-05_15.20.44_192.168.10.164.pcap,744ce2a4f834647a864c5788d13141005f926807cf43c2d3a0fd8c126a40eabf,1630120080.527074,3.0,0E83940D1A295C136B06BA1161D06BC4,"CN=data.meethue.com,O=Signify Netherlands B.V.,L=Eindhoven,ST=Noord Brabant,C=NL","CN=DigiCert TLS RSA SHA256 2020 CA1,O=DigiCert Inc,C=US",1617768000.0,1649822399.0,rsaEncryption,sha256WithRSAEncryption,rsa,2048.0,65537.0,-,data.meethue.com,-,-,-,F,-,T,F,DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,Signify Netherlands B.V.,data.meethue.com,"04/07/2021, 00:00:00","04/12/2022, 23:59:59",370,t-philips-hub,philips,both
8,C8tGBz3X7uPyQtP2lh,18.203.225.125,443.0,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,data.meethue.com,F,-,-,T,CsxknGIti,"744ce2a4f834647a864c5788d13141005f926807cf43c2d3a0fd8c126a40eabf,25768713d3b459f9382d2a594f85f34709fd2a8930731542a4146ffb246bec69",(empty),T,ok,0:17:88:68:5f:61,2021-07-03_15.50.24_192.168.10.164.pcap,744ce2a4f834647a864c5788d13141005f926807cf43c2d3a0fd8c126a40eabf,1630120080.527074,3.0,0E83940D1A295C136B06BA1161D06BC4,"CN=data.meethue.com,O=Signify Netherlands B.V.,L=Eindhoven,ST=Noord Brabant,C=NL","CN=DigiCert TLS RSA SHA256 2020 CA1,O=DigiCert Inc,C=US",1617768000.0,1649822399.0,rsaEncryption,sha256WithRSAEncryption,rsa,2048.0,65537.0,-,data.meethue.com,-,-,-,F,-,T,F,DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,Signify Netherlands B.V.,data.meethue.com,"04/07/2021, 00:00:00","04/12/2022, 23:59:59",370,t-philips-hub,philips,both
9,Cpoi6v3qmoisGfsYi1,54.78.47.246,443.0,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,data.meethue.com,F,-,-,T,CsxknGIti,"744ce2a4f834647a864c5788d13141005f926807cf43c2d3a0fd8c126a40eabf,25768713d3b459f9382d2a594f85f34709fd2a8930731542a4146ffb246bec69",(empty),T,ok,0:17:88:68:5f:61,2021-07-03_15.50.24_192.168.10.164.pcap,744ce2a4f834647a864c5788d13141005f926807cf43c2d3a0fd8c126a40eabf,1630120080.527074,3.0,0E83940D1A295C136B06BA1161D06BC4,"CN=data.meethue.com,O=Signify Netherlands B.V.,L=Eindhoven,ST=Noord Brabant,C=NL","CN=DigiCert TLS RSA SHA256 2020 CA1,O=DigiCert Inc,C=US",1617768000.0,1649822399.0,rsaEncryption,sha256WithRSAEncryption,rsa,2048.0,65537.0,-,data.meethue.com,-,-,-,F,-,T,F,DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,Signify Netherlands B.V.,data.meethue.com,"04/07/2021, 00:00:00","04/12/2022, 23:59:59",370,t-philips-hub,philips,both
10,CAFiZ24qxYbxMfoLg9,34.247.200.248,443.0,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,data.meethue.com,F,-,-,T,CsxknGIti,"744ce2a4f834647a864c5788d13141005f926807cf43c2d3a0fd8c126a40eabf,25768713d3b459f9382d2a594f85f34709fd2a8930731542a4146ffb246bec69",(empty),T,ok,0:17:88:68:5f:61,2021-07-03_15.50.24_192.168.10.164.pcap,744ce2a4f834647a864c5788d13141005f926807cf43c2d3a0fd8c126a40eabf,1630120080.527074,3.0,0E83940D1A295C136B06BA1161D06BC4,"CN=data.meethue.com,O=Signify Netherlands B.V.,L=Eindhoven,ST=Noord Brabant,C=NL","CN=DigiCert TLS RSA SHA256 2020 CA1,O=DigiCert Inc,C=US",1617768000.0,1649822399.0,rsaEncryption,sha256WithRSAEncryption,rsa,2048.0,65537.0,-,data.meethue.com,-,-,-,F,-,T,F,DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,Signify Netherlands B.V.,data.meethue.com,"04/07/2021, 00:00:00","04/12/2022, 23:59:59",370,t-philips-hub,philips,both
