tls_version,cipher_suites,extension_types,compression_methods,ec_point_formats,supported_groups,signature_algorithms,library_version
769,49172+49162+57+56+136+135+49167+49157+53+132+49170+49160+22+19+49165+49155+10+49171+49161+51+50+154+153+69+68+49166+49156+47+150+65+7+49169+49159+49164+49154+5+4+21+18+9+20+17+8+6+3+255,11+10+35,0,"uncompressed, ansiX962_compressed_prime, ansiX962_compressed_char2","sect163k1, sect163r1, sect163r2, sect193r1, sect193r2, sect233k1, sect233r1, sect239k1, sect283k1, sect283r1, sect409k1, sect409r1, sect571k1, sect571r1, secp160k1, secp160r1, secp160r2, secp192k1, secp192r1, secp224k1, secp224r1, secp256k1, secp256r1, secp384r1, secp521r1",missing,curl-7.19.010_openssl-1.0.0e
769,49172+49162+57+56+136+135+49167+49157+53+132+49170+49160+22+19+49165+49155+10+49171+49161+51+50+154+153+69+68+49166+49156+47+150+65+7+49169+49159+49164+49154+5+4+21+18+9+20+17+8+6+3+255,11+10+35,0,"uncompressed, ansiX962_compressed_prime, ansiX962_compressed_char2","sect163k1, sect163r1, sect163r2, sect193r1, sect193r2, sect233k1, sect233r1, sect239k1, sect283k1, sect283r1, sect409k1, sect409r1, sect571k1, sect571r1, secp160k1, secp160r1, secp160r2, secp192k1, secp192r1, secp224k1, secp224r1, secp256k1, secp256r1, secp384r1, secp521r1",missing,curl-7.19.011_openssl-1.0.0f
769,49172+49162+57+56+136+135+49167+49157+53+132+49170+49160+22+19+49165+49155+10+49171+49161+51+50+154+153+69+68+49166+49156+47+150+65+7+49169+49159+49164+49154+5+4+21+18+9+20+17+8+6+3+255,11+10+35,0,"uncompressed, ansiX962_compressed_prime, ansiX962_compressed_char2","sect163k1, sect163r1, sect163r2, sect193r1, sect193r2, sect233k1, sect233r1, sect239k1, sect283k1, sect283r1, sect409k1, sect409r1, sect571k1, sect571r1, secp160k1, secp160r1, secp160r2, secp192k1, secp192r1, secp224k1, secp224r1, secp256k1, secp256r1, secp384r1, secp521r1",missing,curl-7.19.012_openssl-1.0.0g
769,49172+49162+57+56+136+135+49167+49157+53+132+49170+49160+22+19+49165+49155+10+49171+49161+51+50+154+153+69+68+49166+49156+47+150+65+7+49169+49159+49164+49154+5+4+21+18+9+20+17+8+6+3+255,11+10+35,0,"uncompressed, ansiX962_compressed_prime, ansiX962_compressed_char2","sect163k1, sect163r1, sect163r2, sect193r1, sect193r2, sect233k1, sect233r1, sect239k1, sect283k1, sect283r1, sect409k1, sect409r1, sect571k1, sect571r1, secp160k1, secp160r1, secp160r2, secp192k1, secp192r1, secp224k1, secp224r1, secp256k1, secp256r1, secp384r1, secp521r1",missing,curl-7.19.013_openssl-1.0.0h
769,49172+49162+57+56+136+135+49167+49157+53+132+49170+49160+22+19+49165+49155+10+49171+49161+51+50+154+153+69+68+49166+49156+47+150+65+7+49169+49159+49164+49154+5+4+21+18+9+20+17+8+6+3+255,11+10+35,0,"uncompressed, ansiX962_compressed_prime, ansiX962_compressed_char2","sect163k1, sect163r1, sect163r2, sect193r1, sect193r2, sect233k1, sect233r1, sect239k1, sect283k1, sect283r1, sect409k1, sect409r1, sect571k1, sect571r1, secp160k1, secp160r1, secp160r2, secp192k1, secp192r1, secp224k1, secp224r1, secp256k1, secp256r1, secp384r1, secp521r1",missing,curl-7.19.014_openssl-1.0.0i
769,49172+49162+57+56+136+135+49167+49157+53+132+49170+49160+22+19+49165+49155+10+49171+49161+51+50+154+153+69+68+49166+49156+47+150+65+7+49169+49159+49164+49154+5+4+21+18+9+20+17+8+6+3+255,11+10+35,0,"uncompressed, ansiX962_compressed_prime, ansiX962_compressed_char2","sect163k1, sect163r1, sect163r2, sect193r1, sect193r2, sect233k1, sect233r1, sect239k1, sect283k1, sect283r1, sect409k1, sect409r1, sect571k1, sect571r1, secp160k1, secp160r1, secp160r2, secp192k1, secp192r1, secp224k1, secp224r1, secp256k1, secp256r1, secp384r1, secp521r1",missing,curl-7.19.015_openssl-1.0.0j
769,49172+49162+57+56+136+135+49167+49157+53+132+49170+49160+22+19+49165+49155+10+49171+49161+51+50+154+153+69+68+49166+49156+47+150+65+7+49169+49159+49164+49154+5+4+21+18+9+20+17+8+6+3+255,11+10+35,0,"uncompressed, ansiX962_compressed_prime, ansiX962_compressed_char2","sect163k1, sect163r1, sect163r2, sect193r1, sect193r2, sect233k1, sect233r1, sect239k1, sect283k1, sect283r1, sect409k1, sect409r1, sect571k1, sect571r1, secp160k1, secp160r1, secp160r2, secp192k1, secp192r1, secp224k1, secp224r1, secp256k1, secp256r1, secp384r1, secp521r1",missing,curl-7.19.016_openssl-1.0.0k
769,49172+49162+57+56+136+135+49167+49157+53+132+49170+49160+22+19+49165+49155+10+49171+49161+51+50+154+153+69+68+49166+49156+47+150+65+7+49169+49159+49164+49154+5+4+21+18+9+20+17+8+6+3+255,11+10+35,0,"uncompressed, ansiX962_compressed_prime, ansiX962_compressed_char2","sect163k1, sect163r1, sect163r2, sect193r1, sect193r2, sect233k1, sect233r1, sect239k1, sect283k1, sect283r1, sect409k1, sect409r1, sect571k1, sect571r1, secp160k1, secp160r1, secp160r2, secp192k1, secp192r1, secp224k1, secp224r1, secp256k1, secp256r1, secp384r1, secp521r1",missing,curl-7.19.017_openssl-1.0.0l
769,49172+49162+57+56+136+135+49167+49157+53+132+49170+49160+22+19+49165+49155+10+49171+49161+51+50+154+153+69+68+49166+49156+47+150+65+7+49169+49159+49164+49154+5+4+21+18+9+20+17+8+6+3+255,11+10+35,0,"uncompressed, ansiX962_compressed_prime, ansiX962_compressed_char2","sect163k1, sect163r1, sect163r2, sect193r1, sect193r2, sect233k1, sect233r1, sect239k1, sect283k1, sect283r1, sect409k1, sect409r1, sect571k1, sect571r1, secp160k1, secp160r1, secp160r2, secp192k1, secp192r1, secp224k1, secp224r1, secp256k1, secp256r1, secp384r1, secp521r1",missing,curl-7.19.018_openssl-1.0.0m
769,49172+49162+57+56+136+135+49167+49157+53+132+49171+49161+51+50+154+153+69+68+49166+49156+47+150+65+7+49169+49159+49164+49154+5+4+49170+49160+22+19+49165+49155+10+21+18+9+20+17+8+6+3+255,11+10+35,0,"uncompressed, ansiX962_compressed_prime, ansiX962_compressed_char2","sect163k1, sect163r1, sect163r2, sect193r1, sect193r2, sect233k1, sect233r1, sect239k1, sect283k1, sect283r1, sect409k1, sect409r1, sect571k1, sect571r1, secp160k1, secp160r1, secp160r2, secp192k1, secp192r1, secp224k1, secp224r1, secp256k1, secp256r1, secp384r1, secp521r1",missing,curl-7.19.019_openssl-1.0.0n
