tls_version,cipher_suites,extension_types,compression_methods,ec_point_formats,supported_groups,signature_algorithms,library_version
771,49196+49195+49200+49199+159+158+52244+52243+52245+49191+49187+49192+49188+49162+49161+49160+49172+49171+49170+107+103+57+51,13,0,missing,missing,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.64.0_(x86_64-pc-linux-gnu)_libcurl/7.64.0_wolfSSL/3.6.9c
771,61+60+53+47+5+4+10,13,0,missing,missing,"0x0401, 0x0201",curl_7.26.0_(x86_64-unknown-linux-gnu)_libcurl/7.26.0_CyaSSL/3.2.6
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,13+11+10+23,0,uncompressed,"secp256r1, secp521r1, secp384r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.61.1_(x86_64-pc-linux-gnu)_libcurl/7.61.1_wolfSSL/3.14.0
771,61+60+53+47+5+4+10+253,missing,0,missing,missing,missing,curl_7.37.0_(x86_64-unknown-linux-gnu)_libcurl/7.37.0_CyaSSL/2.0.2
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,13+10+23,0,missing,"secp256r1, secp521r1, secp384r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.61.0_(x86_64-pc-linux-gnu)_libcurl/7.61.0_wolfSSL/3.15.0
771,61+60+53+47+5+4+10+253,missing,0,missing,missing,missing,curl_7.31.0_(x86_64-unknown-linux-gnu)_libcurl/7.31.0_CyaSSL/2.1.1
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,13+11+10+23,0,uncompressed,"secp160r1, secp192r1, secp224r1, secp256r1, secp384r1, secp521r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.65.3_(x86_64-pc-linux-gnu)_libcurl/7.65.3_wolfSSL/3.15.0
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,10+13+23,0,missing,"secp256r1, secp521r1, secp384r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.60.0_(x86_64-pc-linux-gnu)_libcurl/7.60.0_wolfSSL/3.10.2
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,13+11+10+23,0,uncompressed,"secp521r1, secp384r1, secp256r1, secp224r1, secp192r1, secp160r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.65.1_(x86_64-pc-linux-gnu)_libcurl/7.65.1_wolfSSL/3.15.7
771,61+60+53+47+5+4+10,13,0,missing,missing,"0x0401, 0x0201",curl_7.25.0_(x86_64-unknown-linux-gnu)_libcurl/7.25.0_CyaSSL/2.8.3
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,13+10+23,0,missing,"secp256r1, secp521r1, secp384r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.62.0_(x86_64-pc-linux-gnu)_libcurl/7.62.0_wolfSSL/3.14.0
771,61+60+53+47+5+4+10,13,0,missing,missing,"0x0401, 0x0201",curl_7.30.0_(x86_64-unknown-linux-gnu)_libcurl/7.30.0_CyaSSL/2.9.0
771,49196+49195+49200+49199+159+158+52244+52243+52245+49191+49187+49192+49188+49162+49161+49160+49172+49171+49170+107+103+57+51,13,0,missing,missing,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.61.0_(x86_64-pc-linux-gnu)_libcurl/7.61.0_wolfSSL/3.7.3
771,61+60+53+47+5+4+10,13,0,missing,missing,"0x0401, 0x0201",curl_7.35.0_(x86_64-unknown-linux-gnu)_libcurl/7.35.0_CyaSSL/2.7.2
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,13+11+10+23,0,uncompressed,"secp160r1, secp192r1, secp224r1, secp256r1, secp384r1, secp521r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.67.0_(x86_64-pc-linux-gnu)_libcurl/7.67.0_wolfSSL/3.15.3
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,13+11+10+23,0,uncompressed,"secp521r1, secp384r1, secp256r1, secp224r1, secp192r1, secp160r1, ffdhe2048","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.65.3_(x86_64-pc-linux-gnu)_libcurl/7.65.3_wolfSSL/4.0.0
771,61+60+53+47+5+4+10+253,missing,0,missing,missing,missing,curl_7.33.0_(x86_64-unknown-linux-gnu)_libcurl/7.33.0_CyaSSL/2.2.1
771,61+60+53+47+5+4+10,13,0,missing,missing,"0x0401, 0x0201",curl_7.25.0_(x86_64-unknown-linux-gnu)_libcurl/7.25.0_CyaSSL/2.9.4
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49160+49172+49171+49170+107+103+57+51+52244+52243+52245,13,0,missing,missing,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.62.0_(x86_64-pc-linux-gnu)_libcurl/7.62.0_wolfSSL/3.9.0
771,61+60+53+47+5+4+10,13,0,missing,missing,"0x0401, 0x0201",curl_7.30.0_(x86_64-unknown-linux-gnu)_libcurl/7.30.0_CyaSSL/2.7.2
