cipher_suites,compression_methods,ec_point_formats,extension_types,signature_algorithms,supported_groups,tls_version,library_version
49196+49200+159+49325+49311+49188+49192+107+49162+49172+57+49327+49315+49287+49291+49277+49267+49271+196+136+49195+49199+158+49324+49310+49187+49191+103+49161+49171+51+49326+49314+49286+49290+49276+49266+49270+190+69+49160+49170+22+171+49319+49208+179+49206+145+49297+49307+49303+49323+170+49318+49207+178+49205+144+49296+49302+49306+49322+49204+143+157+49309+61+53+49202+49194+49167+49198+49190+49157+49313+49275+192+132+49293+49273+49289+49269+156+49308+60+47+49201+49193+49166+49197+49189+49156+49312+49274+186+65+49292+49272+49288+49268+10+49165+49155+173+183+149+49299+49305+172+182+148+49298+49304+147+169+49317+175+141+49295+49301+49321+168+49316+174+140+49294+49300+49320+139+255,0,uncompressed,13+10+11+22+23+35,"0x0601, 0x0501, 0x0401, 0x0301, 0x0201, 0x0101, 0x0603, 0x0503, 0x0403, 0x0303, 0x0203, 0x0103","secp521r1, brainpoolP512r1, secp384r1, brainpoolP384r1, secp256r1, secp256k1, brainpoolP256r1, secp224r1, secp224k1, secp192r1, secp192k1",771,mbedtls-1.3.10
49196+49200+159+49325+49311+49188+49192+107+49162+49172+57+49327+49315+49287+49291+49277+49267+49271+196+136+49195+49199+158+49324+49310+49187+49191+103+49161+49171+51+49326+49314+49286+49290+49276+49266+49270+190+69+49160+49170+22+171+49319+49208+179+49206+145+49297+49307+49303+49323+170+49318+49207+178+49205+144+49296+49302+49306+49322+49204+143+157+49309+61+53+49202+49194+49167+49198+49190+49157+49313+49275+192+132+49293+49273+49289+49269+156+49308+60+47+49201+49193+49166+49197+49189+49156+49312+49274+186+65+49292+49272+49288+49268+10+49165+49155+173+183+149+49299+49305+172+182+148+49298+49304+147+169+49317+175+141+49295+49301+49321+168+49316+174+140+49294+49300+49320+139+255,0,uncompressed,13+10+11+22+23+35,"0x0601, 0x0501, 0x0401, 0x0301, 0x0201, 0x0101, 0x0603, 0x0503, 0x0403, 0x0303, 0x0203, 0x0103","secp521r1, brainpoolP512r1, secp384r1, brainpoolP384r1, secp256r1, secp256k1, brainpoolP256r1, secp224r1, secp224k1, secp192r1, secp192k1",771,mbedtls-1.3.11
49196+49200+159+49325+49311+49188+49192+107+49162+49172+57+49327+49315+49287+49291+49277+49267+49271+196+136+49195+49199+158+49324+49310+49187+49191+103+49161+49171+51+49326+49314+49286+49290+49276+49266+49270+190+69+49160+49170+22+171+49319+49208+179+49206+145+49297+49307+49303+49323+170+49318+49207+178+49205+144+49296+49302+49306+49322+49204+143+157+49309+61+53+49202+49194+49167+49198+49190+49157+49313+49275+192+132+49293+49273+49289+49269+156+49308+60+47+49201+49193+49166+49197+49189+49156+49312+49274+186+65+49292+49272+49288+49268+10+49165+49155+173+183+149+49299+49305+172+182+148+49298+49304+147+169+49317+175+141+49295+49301+49321+168+49316+174+140+49294+49300+49320+139+255,0,uncompressed,13+10+11+22+23+35,"0x0601, 0x0501, 0x0401, 0x0301, 0x0201, 0x0101, 0x0603, 0x0503, 0x0403, 0x0303, 0x0203, 0x0103","secp521r1, brainpoolP512r1, secp384r1, brainpoolP384r1, secp256r1, secp256k1, brainpoolP256r1, secp224r1, secp224k1, secp192r1, secp192k1",771,mbedtls-1.3.12
49196+49200+159+49325+49311+49188+49192+107+49162+49172+57+49327+49315+49287+49291+49277+49267+49271+196+136+49195+49199+158+49324+49310+49187+49191+103+49161+49171+51+49326+49314+49286+49290+49276+49266+49270+190+69+49160+49170+22+171+49319+49208+179+49206+145+49297+49307+49303+49323+170+49318+49207+178+49205+144+49296+49302+49306+49322+49204+143+157+49309+61+53+49202+49194+49167+49198+49190+49157+49313+49275+192+132+49293+49273+49289+49269+156+49308+60+47+49201+49193+49166+49197+49189+49156+49312+49274+186+65+49292+49272+49288+49268+10+49165+49155+173+183+149+49299+49305+172+182+148+49298+49304+147+169+49317+175+141+49295+49301+49321+168+49316+174+140+49294+49300+49320+139+255,0,uncompressed,13+10+11+22+23+35,"0x0601, 0x0501, 0x0401, 0x0301, 0x0201, 0x0101, 0x0603, 0x0503, 0x0403, 0x0303, 0x0203, 0x0103","secp521r1, brainpoolP512r1, secp384r1, brainpoolP384r1, secp256r1, secp256k1, brainpoolP256r1, secp224r1, secp224k1, secp192r1, secp192k1",771,mbedtls-1.3.13
49196+49200+159+49325+49311+49188+49192+107+49162+49172+57+49327+49315+49287+49291+49277+49267+49271+196+136+49195+49199+158+49324+49310+49187+49191+103+49161+49171+51+49326+49314+49286+49290+49276+49266+49270+190+69+49160+49170+22+171+49319+49208+179+49206+145+49297+49307+49303+49323+170+49318+49207+178+49205+144+49296+49302+49306+49322+49204+143+157+49309+61+53+49202+49194+49167+49198+49190+49157+49313+49275+192+132+49293+49273+49289+49269+156+49308+60+47+49201+49193+49166+49197+49189+49156+49312+49274+186+65+49292+49272+49288+49268+10+49165+49155+173+183+149+49299+49305+172+182+148+49298+49304+147+169+49317+175+141+49295+49301+49321+168+49316+174+140+49294+49300+49320+139+255,0,uncompressed,13+10+11+22+23+35,"0x0601, 0x0501, 0x0401, 0x0301, 0x0201, 0x0101, 0x0603, 0x0503, 0x0403, 0x0303, 0x0203, 0x0103","secp521r1, brainpoolP512r1, secp384r1, brainpoolP384r1, secp256r1, secp256k1, brainpoolP256r1, secp224r1, secp224k1, secp192r1, secp192k1",771,mbedtls-1.3.14
49196+49200+159+49325+49311+49188+49192+107+49162+49172+57+49327+49315+49287+49291+49277+49267+49271+196+136+49195+49199+158+49324+49310+49187+49191+103+49161+49171+51+49326+49314+49286+49290+49276+49266+49270+190+69+49160+49170+22+171+49319+49208+179+49206+145+49297+49307+49303+49323+170+49318+49207+178+49205+144+49296+49302+49306+49322+49204+143+157+49309+61+53+49202+49194+49167+49198+49190+49157+49313+49275+192+132+49293+49273+49289+49269+156+49308+60+47+49201+49193+49166+49197+49189+49156+49312+49274+186+65+49292+49272+49288+49268+10+49165+49155+173+183+149+49299+49305+172+182+148+49298+49304+147+169+49317+175+141+49295+49301+49321+168+49316+174+140+49294+49300+49320+139+255,0,uncompressed,13+10+11+22+23+35,"0x0601, 0x0501, 0x0401, 0x0301, 0x0201, 0x0101, 0x0603, 0x0503, 0x0403, 0x0303, 0x0203, 0x0103","secp521r1, brainpoolP512r1, secp384r1, brainpoolP384r1, secp256r1, secp256k1, brainpoolP256r1, secp224r1, secp224k1, secp192r1, secp192k1",771,mbedtls-1.3.15
49196+49200+159+49325+49311+49188+49192+107+49162+49172+57+49327+49315+49287+49291+49277+49267+49271+196+136+49195+49199+158+49324+49310+49187+49191+103+49161+49171+51+49326+49314+49286+49290+49276+49266+49270+190+69+49160+49170+22+171+49319+49208+179+49206+145+49297+49307+49303+49323+170+49318+49207+178+49205+144+49296+49302+49306+49322+49204+143+157+49309+61+53+49202+49194+49167+49198+49190+49157+49313+49275+192+132+49293+49273+49289+49269+156+49308+60+47+49201+49193+49166+49197+49189+49156+49312+49274+186+65+49292+49272+49288+49268+10+49165+49155+173+183+149+49299+49305+172+182+148+49298+49304+147+169+49317+175+141+49295+49301+49321+168+49316+174+140+49294+49300+49320+139+255,0,uncompressed,13+10+11+22+23+35,"0x0601, 0x0501, 0x0401, 0x0301, 0x0201, 0x0603, 0x0503, 0x0403, 0x0303, 0x0203","secp521r1, brainpoolP512r1, secp384r1, brainpoolP384r1, secp256r1, secp256k1, brainpoolP256r1, secp224r1, secp224k1, secp192r1, secp192k1",771,mbedtls-1.3.16
49196+49200+159+49325+49311+49188+49192+107+49162+49172+57+49327+49315+49287+49291+49277+49267+49271+196+136+49195+49199+158+49324+49310+49187+49191+103+49161+49171+51+49326+49314+49286+49290+49276+49266+49270+190+69+49160+49170+22+171+49319+49208+179+49206+145+49297+49307+49303+49323+170+49318+49207+178+49205+144+49296+49302+49306+49322+49204+143+157+49309+61+53+49202+49194+49167+49198+49190+49157+49313+49275+192+132+49293+49273+49289+49269+156+49308+60+47+49201+49193+49166+49197+49189+49156+49312+49274+186+65+49292+49272+49288+49268+10+49165+49155+173+183+149+49299+49305+172+182+148+49298+49304+147+169+49317+175+141+49295+49301+49321+168+49316+174+140+49294+49300+49320+139+255,0,uncompressed,13+10+11+22+23+35,"0x0601, 0x0501, 0x0401, 0x0301, 0x0201, 0x0603, 0x0503, 0x0403, 0x0303, 0x0203","secp521r1, brainpoolP512r1, secp384r1, brainpoolP384r1, secp256r1, secp256k1, brainpoolP256r1, secp224r1, secp224k1, secp192r1, secp192k1",771,mbedtls-1.3.17
49196+49200+159+49325+49311+49188+49192+107+49162+49172+57+49327+49315+49287+49291+49277+49267+49271+196+136+49195+49199+158+49324+49310+49187+49191+103+49161+49171+51+49326+49314+49286+49290+49276+49266+49270+190+69+49160+49170+22+171+49319+49208+179+49206+145+49297+49307+49303+49323+170+49318+49207+178+49205+144+49296+49302+49306+49322+49204+143+157+49309+61+53+49202+49194+49167+49198+49190+49157+49313+49275+192+132+49293+49273+49289+49269+156+49308+60+47+49201+49193+49166+49197+49189+49156+49312+49274+186+65+49292+49272+49288+49268+10+49165+49155+173+183+149+49299+49305+172+182+148+49298+49304+147+169+49317+175+141+49295+49301+49321+168+49316+174+140+49294+49300+49320+139+255,0,uncompressed,13+10+11+22+23+35,"0x0601, 0x0501, 0x0401, 0x0301, 0x0201, 0x0603, 0x0503, 0x0403, 0x0303, 0x0203","secp521r1, brainpoolP512r1, secp384r1, brainpoolP384r1, secp256r1, secp256k1, brainpoolP256r1, secp224r1, secp224k1, secp192r1, secp192k1",771,mbedtls-1.3.18
49196+49200+159+49325+49311+49188+49192+107+49162+49172+57+49327+49315+49287+49291+49277+49267+49271+196+136+49195+49199+158+49324+49310+49187+49191+103+49161+49171+51+49326+49314+49286+49290+49276+49266+49270+190+69+49160+49170+22+171+49319+49208+179+49206+145+49297+49307+49303+49323+170+49318+49207+178+49205+144+49296+49302+49306+49322+49204+143+157+49309+61+53+49202+49194+49167+49198+49190+49157+49313+49275+192+132+49293+49273+49289+49269+156+49308+60+47+49201+49193+49166+49197+49189+49156+49312+49274+186+65+49292+49272+49288+49268+10+49165+49155+173+183+149+49299+49305+172+182+148+49298+49304+147+169+49317+175+141+49295+49301+49321+168+49316+174+140+49294+49300+49320+139+255,0,uncompressed,13+10+11+22+23+35,"0x0601, 0x0501, 0x0401, 0x0301, 0x0201, 0x0603, 0x0503, 0x0403, 0x0303, 0x0203","secp521r1, brainpoolP512r1, secp384r1, brainpoolP384r1, secp256r1, secp256k1, brainpoolP256r1, secp224r1, secp224k1, secp192r1, secp192k1",771,mbedtls-1.3.19
